Exhibit Section,url,file_name,Title,Translated Title,Creator / Contributor,Date Created / Date Issued [Facet],Place Name [Facet],Description,Topic [Facet],Time Period Covered,Language [Facet],Type [Facet],Extent,General Note,Source Collection Identifier,Source Collection Name,Owning Repository [Facet],Rights,Use and Reproduction
08_colonial_extraction,https://raw.githubusercontent.com/sylviagbloom/Upload/main/utblac_gg_ms_g248_011.jpg,utblac_gg_ms_g248_p011.jpg,"""Plano horizontal de la situación del Real de Zimapán""","""Map of the Royal Mining Town of Zimapán""","Figueroa y Medina, Miguel (cartographer / cartógrafo)",1789-01-28,Mexico | Mexico--Hidalgo--Zimapan,"Map is a cross-section of the town's buildings, which are mostly colored in with red and yellow hues. The map's north-south orientation corresponds with the page's left-right. —— El mapa es una sección transversal de los edificios del pueblo, que en su mayoría están coloreados con tonos rojos y amarillos. La orientación norte-sur del mapa corresponde con la izquierda-derecha de la página.",Silver mines and mining | Minas de plata y minería | Architecture | Arquitectura | Commerce | Comercio | Waterways in art | Vías fluviales en el arte | Church buildings in art | Edificios de iglesias en el arte | Plazas in art | Plazas en el arte,18th Century / Siglo XVIII (1700-1799),Spanish / Español,Still image / Imagen fija,1 map / mapa,"Translation of legend: ""A.) Parish Church B.) Santa Veracruz C.) Calvary D.) Priest’s House E.) Royal Houses/Municipal Palace F.) Main Plaza G.) Treasury H.) Customs House I.) Tobacconist Shop J.) Gate of Balzategui K.) Metal Inspection L.) Gate and Square of Zierra M.) Square of Carbon N.) Waterhole and swamp O.) Teran House and Orchard P.) Waterhole and tank R.) Jurisdiction’s Estates and Grasslands S.) Barranquilla Bridge T.) Santiago Stream V.) Canyon that divides this settlement X.) Royal Road Y.) Savannah Z.) Plaza of Roosters."" Appended to ""Topographic description of the jurisdiction of the Royal Mines of Zimapán"". —— Transcripción de la leyenda: “A.) Iglesia parroquial B.) Santa Veracruz C.) Calvario D.) Casa cural E.) Casas reales F.) Plaza principal G.) Tesorería H.) Aduana I.) Estanco del Tabaco J.) Portal de Balzategui K.) Ensaye L.) Portal y Plazuela de Zierra M.) Plazuela del Carbón N.) Ojo de agua y ciénega O.) Casa y huerta de Terán P.) Ojo y tanque de agua R.) Haciendas de Jurisdicción y sus Graseros S.) Puente de la Barranquilla T.) Arroyo de Santiago V.) Barranca que divide este Real X.) Calle Real Y.) Sabana Z.) Plaza de Gallos."" Anexado a ""Descripción topográfica de la jurisdicción del Real y Minas de Zimapán"". Dimensions: / Dimensiones: 31.5 x 19.5 cm.",G248,Genaro García Manuscript Collection,"Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",Public Domain / Dominio Público (https://creativecommons.org/publicdomain/mark/1.0/),"The University of Texas Libraries makes this electronic resource available solely for the purposes of research and teaching. If you would like to republish this resource in print or electronically, please contact Benson Special Collections staff at bensonspecialcollections@austin.utexas.edu. —— Las Bibliotecas de la Universidad de Texas proveen acceso a este recurso electrónico únicamente con fines de investigación y enseñanza. Si quisiera publicar en forma impresa o electrónica este recurso, por favor comuníquese con el personal de las Colecciones Especiales de la Benson por correo electrónico, bensonspecialcollections@austin.utexas.edu."
10_power_blood,https://github.com/sylviagbloom/Upload/blob/main/utblac_gg_ms_g277.jpg,utblac_gg_ms_g277.jpg,"Árbol genealógico de Chimalpopoca, Rey de Tacuba","Genealogical tree of Chimalpopoca, King of Tacuba",Unidentified / No identificado (artist / artista),Undated / Sin Fecha,Mexico | Mexico--Mexico City--Tacuba,Chimalpopoca was the Aztec tlatoani of Tacuba. This diagram illustrates his descendants in the 17th and 18th century. Notes throughout indicate ongoing lawsuits between family members. Two birds decorate either side of the genealogy tree. —— Chimalpopoca fue el tlatoani azteca de Tacuba. Este diagrama ilustra a sus descendientes en los siglos XVII y XVIII. Hay notas que indican demandas en curso entre miembros de la familia. Dos pájaros decoran ambos lados del árbol genealógico.,"Genealogy | Genealogía | Indigenous art | Arte indígena | Names, Nahuatl | Nombres, Náhuatl | Women | Mujeres | Nobility | Nobilidad",18th Century / Siglo XVIII (1700-1799),Spanish / Español,Still image / Imagen fija,1 diagram / diagrama,Dimensions: / Dimensiones: 32 cm.,G277,Genaro García Manuscript Collection,"Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",Public Domain / Dominio Público (https://creativecommons.org/publicdomain/mark/1.0/),"The University of Texas Libraries makes this electronic resource available solely for the purposes of research and teaching. If you would like to republish this resource in print or electronically, please contact Benson Special Collections staff at bensonspecialcollections@austin.utexas.edu. —— Las Bibliotecas de la Universidad de Texas proveen acceso a este recurso electrónico únicamente con fines de investigación y enseñanza. Si quisiera publicar en forma impresa o electrónica este recurso, por favor comuníquese con el personal de las Colecciones Especiales de la Benson por correo electrónico, bensonspecialcollections@austin.utexas.edu."
08_colonial_extraction,https://github.com/sylviagbloom/Upload/blob/main/utblac_gg_ms_g30_002.jpg,utblac_gg_ms_g30_002.jpg,Tributo de los barrios de Altlaca (San Pablos) y Tula,Tribute of the neighborhoods of Altlaca (San Pablos) and Tula,Unidentified / No identificado (author / autor),circa 1550,Mexico | Mexico--Hidalgo--Tula,"Accounting entries number 23-24. Tribute line items include birds, cacao beans, and fish with valuations. —— Número de asientos contables 23-24. El tributo incluye aves, granos de cacao y pescado con valoraciones.",Indigenous peoples | Gente indígena | Indigenous art | Arte indígena | Tribute | Tributo | Accounting | Contabilidad | Money | Dinero | Waterways | Vías fluviales | Swords | Espadas | Animals in art | Animales en el arte,16th Century / Siglo XVI (1500-1599),Spanish / Español,Mixed material / Material mixto,#2 of 20 pages / páginas ,Part of a larger record of tributes that also contain hand-colored figures. —— Parte de un registro más amplio de tributos que también contienen figuras coloreadas a mano. Dimensions: / Dimensiones: 32 cm. Digital access to the full letter is available through Texas ScholarWorks: / Acceso a la carta completa está disponible a través de Texas ScholarWorks: https://repositories.lib.utexas.edu/bitstream/handle/2152/24496/txu-oclc-29948890-g30.pdf,G30,Genaro García Manuscript Collection,"Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",Public Domain / Dominio Público (https://creativecommons.org/publicdomain/mark/1.0/),"The University of Texas Libraries makes this electronic resource available solely for the purposes of research and teaching. If you would like to republish this resource in print or electronically, please contact Benson Special Collections staff at bensonspecialcollections@austin.utexas.edu. —— Las Bibliotecas de la Universidad de Texas proveen acceso a este recurso electrónico únicamente con fines de investigación y enseñanza. Si quisiera publicar en forma impresa o electrónica este recurso, por favor comuníquese con el personal de las Colecciones Especiales de la Benson por correo electrónico, bensonspecialcollections@austin.utexas.edu."
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
